Weight,Input Node,Hidden Node,Output Node,Layer Index
0.15354996579570587,0,0,-1,1
-0.005015282650337943,1,0,-1,1
0.42189522190336864,2,0,-1,1
0.8199260900818359,3,0,-1,1
-0.09932607728161852,4,0,-1,1
-0.09389067422570181,5,0,-1,1
-0.030411618659616554,6,0,-1,1
-0.17793188650622707,7,0,-1,1
-0.10450665454059566,8,0,-1,1
-0.6618614185338505,9,0,-1,1
-0.02822947735247666,10,0,-1,1
-1.2127433496429545,11,0,-1,1
-1.1198080000040236,12,0,-1,1
-0.14536971729506185,13,0,-1,1
0.7844369635287168,14,0,-1,1
0.3738000173310214,15,0,-1,1
0.12217531189740029,16,0,-1,1
-0.9254717674843127,17,0,-1,1
0.8959306389438487,18,0,-1,1
2.9791332310635483,19,0,-1,1
-0.7925900409375272,20,0,-1,1
-0.40566418166098867,21,0,-1,1
1.1442507232465315,22,0,-1,1
0.9847462509577776,23,0,-1,1
0.14488648818047803,24,0,-1,1
0.86223148575927,25,0,-1,1
1.3091364077801069,26,0,-1,1
-0.8148883674680713,27,0,-1,1
-4.168067366874655,28,0,-1,1
0.1608204963494093,29,0,-1,1
0.7861654346981328,30,0,-1,1
0.16119349104759098,31,0,-1,1
0.01938245227438057,32,0,-1,1
0.193826194500556,33,0,-1,1
3.5067376961499463,34,0,-1,1
0.04896371364423801,35,0,-1,1
0.42426682660039844,36,0,-1,1
1.7632069178929324,37,0,-1,1
-1.1850953372526192,38,0,-1,1
0.5335279194525128,39,0,-1,1
-0.7102567182563572,40,0,-1,1
-0.22845659538784807,41,0,-1,1
1.5035807217046921,42,0,-1,1
2.470799288689866,43,0,-1,1
1.074842871081157,44,0,-1,1
-0.17903301106857977,45,0,-1,1
0.2191823505536206,46,0,-1,1
0.5692420683987053,47,0,-1,1
-0.2910195600917054,48,0,-1,1
-0.8403002664357142,49,0,-1,1
-0.47232940275816326,50,0,-1,1
-0.8400619513579727,51,0,-1,1
-0.06802310352745976,52,0,-1,1
0.6369961202914664,53,0,-1,1
1.1290438262066786,54,0,-1,1
0.010392417359605131,55,0,-1,1
-0.11870871291832456,56,0,-1,1
-0.6729800647762388,57,0,-1,1
-0.06862768400845484,58,0,-1,1
0.8779986702355776,59,0,-1,1
0.14450084455298526,60,0,-1,1
0.21690939688905392,61,0,-1,1
0.03867927554354774,62,0,-1,1
0.012746267981671893,63,0,-1,1
0.1149086292564496,0,1,-1,1
0.11030736129555327,1,1,-1,1
0.2799721823655334,2,1,-1,1
0.36874377429865457,3,1,-1,1
0.28464184988604413,4,1,-1,1
0.4729709987415685,5,1,-1,1
0.07798139742346447,6,1,-1,1
-0.01378765624705059,7,1,-1,1
-0.021621755197211323,8,1,-1,1
-0.17957929631211428,9,1,-1,1
0.3632449571662103,10,1,-1,1
0.4066288617330718,11,1,-1,1
0.8148699043571589,12,1,-1,1
0.7865697622101928,13,1,-1,1
-1.0155092059887547,14,1,-1,1
-0.056946026446193086,15,1,-1,1
0.41988174253510363,16,1,-1,1
-1.3972559614419229,17,1,-1,1
-0.061866110265172664,18,1,-1,1
-1.1007018803047541,19,1,-1,1
-1.5729103956186015,20,1,-1,1
-1.2466554900075768,21,1,-1,1
-2.434266214187254,22,1,-1,1
-0.4906966445988988,23,1,-1,1
0.19810992213464046,24,1,-1,1
-3.1415587513725884,25,1,-1,1
-3.774371078645834,26,1,-1,1
-3.1817463146958516,27,1,-1,1
-3.2992801210507365,28,1,-1,1
-1.8630302138103483,29,1,-1,1
-1.0004993945564302,30,1,-1,1
-0.11042297301219309,31,1,-1,1
-0.1695292393227652,32,1,-1,1
-0.5091897377606213,33,1,-1,1
0.9850165506626134,34,1,-1,1
2.855685249248714,35,1,-1,1
-0.7574382243089469,36,1,-1,1
-0.938427180106096,37,1,-1,1
0.0077455056253684295,38,1,-1,1
1.0472378036351235,39,1,-1,1
-0.21694832064981995,40,1,-1,1
1.226161729014649,41,1,-1,1
2.4070318317621244,42,1,-1,1
2.0552431511901395,43,1,-1,1
-0.46168914060709787,44,1,-1,1
0.6144907765984776,45,1,-1,1
1.9156993675934848,46,1,-1,1
1.2309489753780813,47,1,-1,1
-0.07695119018121019,48,1,-1,1
-0.031337517251972126,49,1,-1,1
0.7523551422265409,50,1,-1,1
-0.6005869244633388,51,1,-1,1
-1.816582784415775,52,1,-1,1
0.20790308861972492,53,1,-1,1
1.4102383704042356,54,1,-1,1
0.2519054765403683,55,1,-1,1
0.07410817468806488,56,1,-1,1
0.031678243561856397,57,1,-1,1
-0.8956891683939594,58,1,-1,1
-1.7277470695690222,59,1,-1,1
-1.5970573834455324,60,1,-1,1
-1.1270555881767477,61,1,-1,1
-0.19674487358427614,62,1,-1,1
0.09238132044986715,63,1,-1,1
-0.08578945701047529,0,2,-1,1
0.14422633628102938,1,2,-1,1
0.0022692614448114184,2,2,-1,1
-0.5371251673035243,3,2,-1,1
-0.9574521497174937,4,2,-1,1
-1.0813115777196975,5,2,-1,1
-0.12319826611135849,6,2,-1,1
0.16324176791501546,7,2,-1,1
0.09579363276704587,8,2,-1,1
-0.7963173206185163,9,2,-1,1
-0.5301433401066193,10,2,-1,1
-0.5410125754323072,11,2,-1,1
-0.23984157218057356,12,2,-1,1
0.7833483224267266,13,2,-1,1
1.6734552676910506,14,2,-1,1
0.23928996329273844,15,2,-1,1
0.2403278959464575,16,2,-1,1
-1.9283635571202444,17,2,-1,1
1.23553184431859,18,2,-1,1
0.4143961665321219,19,2,-1,1
0.16654805566500464,20,2,-1,1
-0.38289826917326647,21,2,-1,1
0.32967617807177974,22,2,-1,1
1.2151649620606264,23,2,-1,1
-0.1718138603661995,24,2,-1,1
0.7323307340209919,25,2,-1,1
0.007802101378252084,26,2,-1,1
-0.42591955098275497,27,2,-1,1
0.36974168913664585,28,2,-1,1
-2.3804304811601145,29,2,-1,1
0.9125435000809747,30,2,-1,1
0.3105824715987493,31,2,-1,1
-0.12427473817437797,32,2,-1,1
0.1664933267810172,33,2,-1,1
-0.8085893172074491,34,2,-1,1
0.5420771159048282,35,2,-1,1
-1.2778088651080874,36,2,-1,1
-2.2519421801262376,37,2,-1,1
-0.6608319723348735,38,2,-1,1
-0.06725315500135558,39,2,-1,1
-0.6466672596761716,40,2,-1,1
-0.6143043808015586,41,2,-1,1
1.7444743741073032,42,2,-1,1
0.8782026704696763,43,2,-1,1
-2.7213336550530047,44,2,-1,1
-1.2167294377563653,45,2,-1,1
-0.39322238606556414,46,2,-1,1
-0.014175193607639405,47,2,-1,1
-0.20742908162024948,48,2,-1,1
-0.3152333035480108,49,2,-1,1
1.0956586159260888,50,2,-1,1
1.6632228999493206,51,2,-1,1
0.22937523654068104,52,2,-1,1
0.14202286872470185,53,2,-1,1
0.8972331556583771,54,2,-1,1
0.053308535993629634,55,2,-1,1
-0.023070563764066642,56,2,-1,1
-0.25824396313564274,57,2,-1,1
-0.34007905798488625,58,2,-1,1
0.26364998531350264,59,2,-1,1
-0.45489253600589985,60,2,-1,1
0.11780256209437985,61,2,-1,1
-0.11638807249998374,62,2,-1,1
0.15038225316345216,63,2,-1,1
0.08976427408164672,0,3,-1,1
0.001956029309209985,1,3,-1,1
-0.021180907633159152,2,3,-1,1
1.154955999070197,3,3,-1,1
1.7051824335209793,4,3,-1,1
1.933848892075543,5,3,-1,1
1.0675265316148357,6,3,-1,1
-0.1629790378352861,7,3,-1,1
0.1538751043823533,8,3,-1,1
-0.21130023298329315,9,3,-1,1
0.7484395115403192,10,3,-1,1
0.4334166408808522,11,3,-1,1
-0.025681194979289446,12,3,-1,1
0.2568901938959938,13,3,-1,1
-0.6622830177066721,14,3,-1,1
-0.25766516698307235,15,3,-1,1
-0.08789728952957741,16,3,-1,1
0.3214499792269416,17,3,-1,1
0.6542851001591131,18,3,-1,1
-0.07037898186868062,19,3,-1,1
2.0682897693346054,20,3,-1,1
-1.9556854658873584,21,3,-1,1
-1.0771187139332237,22,3,-1,1
-0.19114652304463842,23,3,-1,1
-0.1881975529042159,24,3,-1,1
1.6753515812983928,25,3,-1,1
2.0039923325560345,26,3,-1,1
0.9255688859208308,27,3,-1,1
0.6692097840935036,28,3,-1,1
1.1107008595570842,29,3,-1,1
1.8930924758272702,30,3,-1,1
0.13273843434108606,31,3,-1,1
-0.3466261609352628,32,3,-1,1
-0.5064334531182543,33,3,-1,1
-1.1918119745780344,34,3,-1,1
-1.7786340583471485,35,3,-1,1
-1.216722372732653,36,3,-1,1
0.3112722055038884,37,3,-1,1
-0.08918647313161045,38,3,-1,1
-0.3074848332255089,39,3,-1,1
0.2450246950481084,40,3,-1,1
-1.8022429412665777,41,3,-1,1
-1.9298464860691547,42,3,-1,1
1.457266859633433,43,3,-1,1
-0.3831620032605293,44,3,-1,1
1.0382595711851927,45,3,-1,1
-1.1240846854718667,46,3,-1,1
-0.7059378997619529,47,3,-1,1
-0.04763212232638793,48,3,-1,1
0.17300621496957116,49,3,-1,1
-0.39796217538597084,50,3,-1,1
2.6012745828177,51,3,-1,1
2.205792344121488,52,3,-1,1
-0.43914350035290467,53,3,-1,1
-1.1525128840415597,54,3,-1,1
-0.040705445364513655,55,3,-1,1
-0.09932564607575334,56,3,-1,1
0.29480912796692693,57,3,-1,1
1.3580870464018495,58,3,-1,1
1.901390217165403,59,3,-1,1
0.8789568619187702,60,3,-1,1
0.6079505811650373,61,3,-1,1
0.06709496536924275,62,3,-1,1
0.05593649299813746,63,3,-1,1
0.13739961429617237,0,4,-1,1
0.05094580067035184,1,4,-1,1
-0.4124112075455038,2,4,-1,1
0.15584808223326616,3,4,-1,1
0.2884345939880445,4,4,-1,1
-0.09760555709335837,5,4,-1,1
0.017384047030594714,6,4,-1,1
-0.033000568065876736,7,4,-1,1
-0.0012151411528315223,8,4,-1,1
0.5637649670914788,9,4,-1,1
0.9903576493877663,10,4,-1,1
1.7478111187426109,11,4,-1,1
-0.8020826534909151,12,4,-1,1
-1.4567064609177631,13,4,-1,1
-0.10262533940340993,14,4,-1,1
-0.21024584801113735,15,4,-1,1
0.5298410766098646,16,4,-1,1
0.5853177035549201,17,4,-1,1
-1.0926910129233662,18,4,-1,1
-0.7998281817928216,19,4,-1,1
2.268539630316771,20,4,-1,1
1.835907015612689,21,4,-1,1
-0.7039546025944649,22,4,-1,1
-1.647089819893953,23,4,-1,1
0.5738865381225842,24,4,-1,1
0.113681300616469,25,4,-1,1
-1.0826836211034148,26,4,-1,1
-1.0660580374052047,27,4,-1,1
5.628065830458332,28,4,-1,1
1.4434522190224357,29,4,-1,1
0.3422213718975657,30,4,-1,1
-1.2052696933584508,31,4,-1,1
0.29688219484212197,32,4,-1,1
0.3905832825171435,33,4,-1,1
-3.3262113369963395,34,4,-1,1
-0.8398506234774097,35,4,-1,1
1.7991801429315528,36,4,-1,1
-0.36749972399386055,37,4,-1,1
-0.5780370737616001,38,4,-1,1
-0.5420054682031974,39,4,-1,1
0.26407918945955877,40,4,-1,1
